SOURCE_ID,SOURCE_TITLE,SOURCE_NAME
1,The Wall Street Journal,wsj.com
2,Financial Times,ft.com
3,Bloomberg,bloomberg.com
4,Reuters,reuters.com
5,The New York Times,nytimes.com
6,The Washington Post,washingtonpost.com
7,CNBC,cnbc.com
8,Forbes,forbes.com
9,The Economist,economist.com
10,BBC News,bbc.com
11,Associated Press,apnews.com
12,NPR,npr.org
13,Politico,politico.com
14,Axios,axios.com
15,The Guardian,theguardian.com
16,Al Jazeera,aljazeera.com
17,Fox Business,foxbusiness.com
18,MarketWatch,marketwatch.com
19,Barron's,barrons.com
20,Investopedia,investopedia.com
21,CoinDesk,coindesk.com
22,Wired,wired.com
23,MIT Technology Review,technologyreview.com
24,Dark Reading,darkreading.com
25,Krebs on Security,krebsonsecurity.com
26,The Hill,thehill.com
27,Foreign Policy,foreignpolicy.com
28,Council on Foreign Relations,cfr.org
29,Brookings Institution,brookings.edu
30,Pew Research Center,pewresearch.org
31,Atlantic Council,atlanticcouncil.org
32,CSIS,csis.org
33,RAND Corporation,rand.org
34,ProPublica,propublica.org
35,Vice News,vice.com
36,Quartz,qz.com
37,Nikkei Asia,asia.nikkei.com
38,DW,dw.com
39,Ars Technica,arstechnica.com
40,Yahoo Finance,finance.yahoo.com
