SOURCE_NAME,IS_PAYWALLED,CREDIBILITY_TYPE
baltimoresun.com,1,Mainstream
bloomberg.com,1,Mainstream
bostonglobe.com,1,Mainstream
chicagotribune.com,1,Mainstream
cnbc.com,1,Mainstream
cnn.com,0,Mainstream
telegraph.co.uk,1,Mainstream
forbes.com,1,Mainstream
latimes.com,1,Mainstream
nytimes.com,1,Mainstream
sfchronicle.com,1,Mainstream
sec.gov,0,Domain
economist.com,1,Mainstream
theguardian.com,0,Mainstream
ft.com,1,Mainstream
thehill.com,0,Mainstream
washingtonpost.com,1,Mainstream
usatoday.com,1,Mainstream
wsj.com,1,Mainstream
bbc.com,0,Mainstream
reuters.com,1,Mainstream
theatlantic.com,1,Mainstream
foreignpolicy.com,1,Mainstream
techcrunch.com,1,Domain
darkreading.com,0,Domain
threatpost.com,0,Domain
bleepingcomputer.com,0,Domain
